image,true_class,norm_pred_class,norm_conf,baseline_pred_class,baseline_conf,lighting_condition,color_cast
08c1db4d-e947-4499-beff-ed2d8025d725___RS_Late.B 6113_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9999911785125732,tomato_healthy,0.9864233136177063,low_light_or_heavy_shadow,neutral
0931f7e6-8481-4d03-8fe6-d4ae7637142d___RS_Late.B 4917.JPG,tomato_Late blight,tomato_healthy,0.8745253682136536,tomato_Late blight,0.9892690777778625,standard_field_lighting,neutral
0931f7e6-8481-4d03-8fe6-d4ae7637142d___RS_Late.B 4917_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9923428893089294,tomato_Late blight,0.9923481941223145,low_light_or_heavy_shadow,neutral
0a3f65fc-ef1c-4aed-b235-46bae4e5c0e7___GHLB2 Leaf 9065_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.7560973763465881,tomato_Late blight,0.9781888127326965,low_light_or_heavy_shadow,neutral
0a6203b9-ced0-4934-ae23-4a7d2e2e2fdd___RS_Late.B 6424_final_masked.jpg,tomato_Late blight,tomato_healthy,0.8401035070419312,tomato_Late blight,0.9999496936798096,low_light_or_heavy_shadow,neutral
0a8967d4-bb72-4fe4-8096-55fc57437557___RS_Late.B 6974_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.49105626344680786,tomato_Late blight,0.9967353940010071,low_light_or_heavy_shadow,neutral
0ab172fa-ac7b-4a3e-90c8-0708703eb3bb___RS_Late.B 5572_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.9995019435882568,tomato_Late blight,0.7392046451568604,low_light_or_heavy_shadow,neutral
0bb05a47-55a2-4c23-9dd2-3a5abf17c9f4___GHLB Leaf 5 Day 1.JPG,tomato_Late blight,tomato_healthy,0.9723766446113586,tomato_Late blight,0.9725869297981262,diffuse_cloudy_optimal,neutral
0bb05a47-55a2-4c23-9dd2-3a5abf17c9f4___GHLB Leaf 5 Day 1_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9996788501739502,tomato_Early blight,0.5621386170387268,low_light_or_heavy_shadow,neutral
0c192fbe-38eb-4abb-a858-8bc39942a3ef___RS_Late.B 6076_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9934418201446533,tomato_Late blight,0.9988722205162048,low_light_or_heavy_shadow,neutral
0c47de5b-adbe-479f-8ccf-5b8c530c32f8___RS_Late.B 6312_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.9999977350234985,tomato_Early blight,0.5785853862762451,low_light_or_heavy_shadow,warm_evening_or_indoor
0ccaeb36-37ff-4328-91c8-99aabd68f442___RS_Late.B 6596_final_masked.jpg,tomato_Late blight,tomato_healthy,0.4152878522872925,tomato_Late blight,0.9994392991065979,low_light_or_heavy_shadow,neutral
0d7a68e9-3df0-4ef8-88f7-c0a202725c5d___RS_Late.B 6787_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9782986640930176,tomato_Late blight,0.5245635509490967,standard_field_lighting,neutral
0da53824-7b3b-43a9-9b34-146a7f71ef7e___RS_Late.B 6958_final_masked.jpg,tomato_Late blight,tomato_healthy,0.6288439035415649,tomato_Late blight,0.8162275552749634,low_light_or_heavy_shadow,neutral
0dd9d965-d68a-4e47-ba02-ebcadf13c7ae___GHLB2 Leaf 78.1_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.5332032442092896,tomato_Late blight,0.9999945163726807,low_light_or_heavy_shadow,warm_evening_or_indoor
0e451078-be73-4e6b-b329-a7b0fa1f152b___GHLB2 Leaf 8612_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.5851147770881653,tomato_Late blight,0.8990780711174011,low_light_or_heavy_shadow,neutral
0e669afb-1315-4903-b7ca-1a0ffa95d454___RS_Late.B 5626_final_masked.jpg,tomato_Late blight,tomato_healthy,0.7078489661216736,tomato_Late blight,0.9997521042823792,low_light_or_heavy_shadow,neutral
0fa1b773-fe9f-4440-ab2a-cfbc39c9cd2b___RS_Late.B 6230_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.9984506368637085,tomato_Late blight,0.9997822642326355,low_light_or_heavy_shadow,neutral
10d91c8f-6d77-4c15-ad21-459688b52055___GHLB2 Leaf 154.4_final_masked.jpg,tomato_Late blight,tomato_healthy,0.6915198564529419,tomato_Late blight,0.8012720346450806,low_light_or_heavy_shadow,neutral
117a7f38-eaa6-4f88-b892-33e2a66d77d5___RS_Late.B 5129_final_masked.jpg,tomato_Late blight,tomato_healthy,0.7150188684463501,tomato_Late blight,0.9982455968856812,low_light_or_heavy_shadow,neutral
11b2caf9-a56c-4d3e-bea4-a5d00affd161___RS_Late.B 6140_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.9818967580795288,tomato_Late blight,0.6887900233268738,low_light_or_heavy_shadow,neutral
126e12d3-3d51-4ba6-861f-e6ed09ee951f___GHLB2 Leaf 9021_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.865216076374054,tomato_Late blight,0.9814178347587585,low_light_or_heavy_shadow,neutral
12c80d02-59c6-4db4-a96e-b28c3fdaf3c2___GHLB_PS Leaf 1.2 Day 9.jpg,tomato_Late blight,tomato_healthy,0.7024693489074707,tomato_Late blight,0.999954104423523,low_light_or_heavy_shadow,neutral
12c80d02-59c6-4db4-a96e-b28c3fdaf3c2___GHLB_PS Leaf 1.2 Day 9_final_masked.jpg,tomato_Late blight,tomato_healthy,0.6406682133674622,tomato_Late blight,0.9999836683273315,low_light_or_heavy_shadow,neutral
12d62ed2-a145-4400-824d-3e4d5f64418a___RS_Late.B 6586_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9626985788345337,tomato_Late blight,0.7318466901779175,low_light_or_heavy_shadow,neutral
13533985-e30d-4023-8bd3-7a45b07816ca___RS_Late.B 5593_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.49984484910964966,tomato_Late blight,0.8241144418716431,low_light_or_heavy_shadow,neutral
13adbb9e-c4e1-46bd-8621-ae351dd464ca___RS_Late.B 6595_final_masked.jpg,tomato_Late blight,tomato_healthy,0.37053143978118896,tomato_Late blight,0.9993535876274109,low_light_or_heavy_shadow,neutral
142fbb48-886a-4b2b-8a2a-52e548e7e2b7___GHLB2 Leaf 117.3_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.9068318605422974,tomato_Late blight,0.9999914169311523,low_light_or_heavy_shadow,neutral
1430346f-f3f2-4766-bd0e-c6f9316851e9___RS_Late.B 6311.JPG,tomato_Late blight,tomato_Early blight,0.7675765752792358,tomato_Late blight,0.740355908870697,standard_field_lighting,neutral
1430346f-f3f2-4766-bd0e-c6f9316851e9___RS_Late.B 6311_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.8443183302879333,tomato_Late blight,0.9947511553764343,low_light_or_heavy_shadow,warm_evening_or_indoor
1449ecb2-0325-49ba-80f1-2040b739fddd___RS_Late.B 7044_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.8688783645629883,tomato_Early blight,0.7052468657493591,low_light_or_heavy_shadow,neutral
1498c064-8f74-4706-bf27-4761c24b72bd___RS_Late.B 5120_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9988879561424255,tomato_Late blight,0.8784629702568054,low_light_or_heavy_shadow,neutral
1507883d-7f10-4b69-88d4-db80850b1664___GHLB2 Leaf 154_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.9879546165466309,tomato_Late blight,0.5628088712692261,low_light_or_heavy_shadow,neutral
157250ce-f291-48ec-9d81-184af5400f90___RS_Late.B 6652_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.6472018361091614,tomato_Late blight,0.999937891960144,low_light_or_heavy_shadow,warm_evening_or_indoor
15e1e8d7-e05a-4dc1-b872-364b15f004f0___RS_Late.B 4873_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.8514543771743774,tomato_Late blight,0.9998445510864258,low_light_or_heavy_shadow,neutral
16257155-3d28-49cd-bb96-c188e946c4ec___RS_Late.B 4935.JPG,tomato_Late blight,tomato_healthy,0.5345420241355896,tomato_Late blight,0.999882698059082,standard_field_lighting,neutral
16257155-3d28-49cd-bb96-c188e946c4ec___RS_Late.B 4935_final_masked.jpg,tomato_Late blight,tomato_healthy,0.6079435348510742,tomato_Late blight,0.9999797344207764,low_light_or_heavy_shadow,neutral
16a3a1a3-3e8b-4192-999d-2728df11549d___RS_Late.B 4983.JPG,tomato_Late blight,tomato_healthy,0.6570313572883606,tomato_Late blight,0.7840242385864258,standard_field_lighting,neutral
16a3a1a3-3e8b-4192-999d-2728df11549d___RS_Late.B 4983_final_masked.jpg,tomato_Late blight,tomato_healthy,0.5409861207008362,tomato_Late blight,0.5959264636039734,low_light_or_heavy_shadow,neutral
16ac8a43-f720-4fd9-ac41-016523612f38___RS_Late.B 4898.JPG,tomato_Late blight,tomato_healthy,0.7125805616378784,tomato_Late blight,0.5829100012779236,standard_field_lighting,neutral
16ac8a43-f720-4fd9-ac41-016523612f38___RS_Late.B 4898_final_masked.jpg,tomato_Late blight,tomato_healthy,0.8867841958999634,tomato_Late blight,0.6162504553794861,low_light_or_heavy_shadow,neutral
1847f41b-f412-46a2-90c1-21ba9aac6246___RS_Late.B 6816.JPG,tomato_Late blight,tomato_Early blight,0.8653966188430786,tomato_Early blight,0.9238274097442627,standard_field_lighting,warm_evening_or_indoor
1869d21d-5461-4378-bddb-8de766b836f7___GHLB Leaf 12 Day 6_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9213932156562805,tomato_Late blight,0.8682791590690613,low_light_or_heavy_shadow,neutral
189f8e47-0892-4c82-b0b9-7a51b6c83a04___RS_Late.B 7193_final_masked.jpg,tomato_Late blight,tomato_healthy,0.7129386067390442,tomato_Late blight,0.9041883945465088,low_light_or_heavy_shadow,neutral
19bfccfd-5df8-41be-910e-2c5f3eae3573___GHLB2 Leaf 8597_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.9644508957862854,tomato_Late blight,0.9945313334465027,low_light_or_heavy_shadow,neutral
19f3e2cd-2900-4043-bb15-31a0098d26b9___RS_Late.B 5197.JPG,tomato_Late blight,tomato_healthy,0.4294903874397278,tomato_Late blight,0.9985926747322083,standard_field_lighting,neutral
19f3e2cd-2900-4043-bb15-31a0098d26b9___RS_Late.B 5197_final_masked.jpg,tomato_Late blight,tomato_healthy,0.8194470405578613,tomato_Late blight,0.7784897089004517,low_light_or_heavy_shadow,neutral
1a473cad-42fc-48ca-963c-d438fbca928f___RS_Late.B 5418_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.822303295135498,tomato_Late blight,0.6262638568878174,low_light_or_heavy_shadow,neutral
1af98b62-adaf-43d0-b4eb-83ab3f1ee084___RS_Late.B 4908_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.48793718218803406,tomato_Late blight,0.9198449850082397,low_light_or_heavy_shadow,neutral
1b2756ef-4fa0-410a-8fe5-a8b699d3553e___GHLB2 Leaf 156.2_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.5581182837486267,tomato_Late blight,0.9900107979774475,low_light_or_heavy_shadow,neutral
1b5ec98a-5be3-408c-8d8c-e3042f68e225___RS_Late.B 5016.JPG,tomato_Late blight,tomato_healthy,0.6829509139060974,tomato_Late blight,0.9504300951957703,standard_field_lighting,neutral
1b5ec98a-5be3-408c-8d8c-e3042f68e225___RS_Late.B 5016_final_masked.jpg,tomato_Late blight,tomato_healthy,0.91693115234375,tomato_Late blight,0.7197672128677368,low_light_or_heavy_shadow,neutral
1b7d11ff-e94c-45cb-9ef2-6430f989e90e___GHLB2 Leaf 120.1_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.5208954811096191,tomato_Late blight,0.9999961853027344,low_light_or_heavy_shadow,neutral
1c35f7ce-8e8e-4c20-b625-b01f9bf7d0cd___GHLB2 Leaf 111_final_masked.jpg,tomato_Late blight,tomato_healthy,0.593871533870697,tomato_Late blight,0.9990266561508179,low_light_or_heavy_shadow,neutral
1c5deb80-6bde-4aa4-843e-c69f80b7713a___RS_Late.B 6874_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.6910527944564819,tomato_Late blight,0.956838071346283,low_light_or_heavy_shadow,neutral
1c6b66db-9891-41cc-972f-a3521deee072___RS_Late.B 5589_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.9198158383369446,tomato_Late blight,0.535266101360321,low_light_or_heavy_shadow,neutral
1cb5d336-3649-49bf-aa9a-72950067b8b0___GHLB_PS Leaf 12 Day 9.jpg,tomato_Late blight,tomato_healthy,0.8594524264335632,tomato_Late blight,0.9999363422393799,low_light_or_heavy_shadow,neutral
1cb5d336-3649-49bf-aa9a-72950067b8b0___GHLB_PS Leaf 12 Day 9_final_masked.jpg,tomato_Late blight,tomato_Early blight,0.48624053597450256,tomato_Late blight,0.9999169111251831,low_light_or_heavy_shadow,neutral
1db51a76-0e89-45c6-8f00-9262c1c7732e___GHLB2ES Leaf 139_final_masked.jpg,tomato_Late blight,tomato_healthy,0.980430006980896,tomato_healthy,0.7948676347732544,low_light_or_heavy_shadow,neutral
1e0adf6c-906f-4e8f-bfea-cdebf491f3bb___GHLB2 Leaf 8572_final_masked.jpg,tomato_Late blight,tomato_healthy,0.9517548084259033,tomato_Late blight,0.9999455213546753,low_light_or_heavy_shadow,neutral
1e0c01b6-5d75-47ea-b455-c9508882424a___RS_Late.B 6886_final_masked.jpg,tomato_Late blight,tomato_healthy,0.7601074576377869,tomato_Late blight,0.5417771339416504,low_light_or_heavy_shadow,neutral
