filename,filepath,physical_leaf_id,true_class,predicted_class,confidence,correct,error_type,confidence_band,high_confidence_error,image_quality_observation,lighting_observation,leaf_visibility_observation,disease_visibility_observation,possible_contributing_factor,assessment_certainty
07cca2ca-6b0f-4322-8779-beb94bc219b0___RS_Late.B 6037.JPG,C:\Greenscan project\dataset\tomato_Late blight\07cca2ca-6b0f-4322-8779-beb94bc219b0___RS_Late.B 6037.JPG,RS_Late.B 6037,tomato_Late blight,tomato_Early blight,0.5184965,False,Late Blight -> Early Blight,50–70%,False,standard resolution studio capture,balanced illumination,full leaf visible,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
4c25c41d-6e73-46e6-bf17-f9571fa80733___RS_Late.B 6077.JPG,C:\Greenscan project\dataset\tomato_Late blight\4c25c41d-6e73-46e6-bf17-f9571fa80733___RS_Late.B 6077.JPG,RS_Late.B 6077,tomato_Late blight,tomato_healthy,0.68813735,False,Late Blight -> Healthy,50–70%,False,standard resolution studio capture,balanced illumination,full leaf visible,very small focal lesion or subtle marginal chlorosis on predominantly green blade,mild symptoms,clearly observable
15f05055-2bb1-45f7-8a39-fce071823266___RS_Late.B 6082.JPG,C:\Greenscan project\dataset\tomato_Late blight\15f05055-2bb1-45f7-8a39-fce071823266___RS_Late.B 6082.JPG,RS_Late.B 6082,tomato_Late blight,tomato_Early blight,0.687004,False,Late Blight -> Early Blight,50–70%,False,standard resolution studio capture,balanced illumination,full leaf visible,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
50dd04a3-18a8-4a34-bbba-5e6f851742f5___RS_Late.B 6141_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\50dd04a3-18a8-4a34-bbba-5e6f851742f5___RS_Late.B 6141_final_masked.jpg,RS_Late.B 6141,tomato_Late blight,tomato_Early blight,0.66716564,False,Late Blight -> Early Blight,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
483e8a16-c92f-4f69-a048-54c5f4c3676a___RS_Late.B 6296.JPG,C:\Greenscan project\dataset\tomato_Late blight\483e8a16-c92f-4f69-a048-54c5f4c3676a___RS_Late.B 6296.JPG,RS_Late.B 6296,tomato_Late blight,tomato_Early blight,0.7356645,False,Late Blight -> Early Blight,70–80%,False,standard resolution studio capture,balanced illumination,full leaf visible,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
483e8a16-c92f-4f69-a048-54c5f4c3676a___RS_Late.B 6296_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\483e8a16-c92f-4f69-a048-54c5f4c3676a___RS_Late.B 6296_final_masked.jpg,RS_Late.B 6296,tomato_Late blight,tomato_Early blight,0.537269,False,Late Blight -> Early Blight,50–70%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
1847f41b-f412-46a2-90c1-21ba9aac6246___RS_Late.B 6816.JPG,C:\Greenscan project\dataset\tomato_Late blight\1847f41b-f412-46a2-90c1-21ba9aac6246___RS_Late.B 6816.JPG,RS_Late.B 6816,tomato_Late blight,tomato_Early blight,0.8340292,False,Late Blight -> Early Blight,80–90%,False,standard resolution studio capture,balanced illumination,full leaf visible,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
039e5d57-64e2-41de-8ccf-e44598bcedb0___RS_Late.B 6883.JPG,C:\Greenscan project\dataset\tomato_Late blight\039e5d57-64e2-41de-8ccf-e44598bcedb0___RS_Late.B 6883.JPG,RS_Late.B 6883,tomato_Late blight,tomato_Early blight,0.6248479,False,Late Blight -> Early Blight,50–70%,False,standard resolution studio capture,balanced illumination,full leaf visible,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,possibly contributing
7e92fb02-314e-4cad-a30d-e478b216bce4___RS_Late.B 6890_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\7e92fb02-314e-4cad-a30d-e478b216bce4___RS_Late.B 6890_final_masked.jpg,RS_Late.B 6890,tomato_Late blight,tomato_healthy,0.9131805,False,Late Blight -> Healthy,90–95%,True,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,very small focal lesion or subtle marginal chlorosis on predominantly green blade,mild symptoms,clearly observable
ee90e57e-7289-4dcd-af6f-a585d97628b7___RS_Late.B 7040_final_masked.jpg,C:\Greenscan project\dataset\tomato_Late blight\ee90e57e-7289-4dcd-af6f-a585d97628b7___RS_Late.B 7040_final_masked.jpg,RS_Late.B 7040,tomato_Late blight,tomato_Early blight,0.98491895,False,Late Blight -> Early Blight,95–100%,True,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,isolated focal necrotic spots resembling early blight target morphology,ambiguous disease appearance,clearly observable
22356f83-9bb2-4b42-9283-bbf8e0dffba0___RS_HL 0430_final_masked.jpg,C:\Greenscan project\dataset\tomato_healthy\22356f83-9bb2-4b42-9283-bbf8e0dffba0___RS_HL 0430_final_masked.jpg,RS_HL 0430,tomato_healthy,tomato_Late blight,0.7382311,False,Healthy -> Late Blight,70–80%,False,segmented leaf on neutral background,dim / underexposed shadow,segmented leaf blade,natural leaf vein pigmentation / slight physiological blemish,ambiguous disease appearance,possibly contributing
