Image ID,True Class,Predicted Class,Confidence,Leaf Pixels,Activated Pixels,Activation Threshold,Attention-Affected Region %,Mean Leaf Activation,Mean Activated Activation,Weighted Activation,Health Score,Severity
2179421c-3ce3-4581-8b65-17da6fffd3db___RS_Erly.B 7730.JPG,tomato_Early blight,tomato_healthy,0.9175902009010315,18689,5068,0.6,27.12,0.3846,0.7893,0.3846,98,Healthy
2179421c-3ce3-4581-8b65-17da6fffd3db___RS_Erly.B 7730_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9986525177955627,50176,10191,0.6,20.31,0.3184,0.789,0.3184,98,Healthy
21ad39db-c205-4220-a7e6-566042e70007___RS_Erly.B 7633.JPG,tomato_Early blight,tomato_Early blight,0.9999905824661255,22870,12967,0.6,56.7,0.5903,0.8068,0.5903,34,Severe
21ad39db-c205-4220-a7e6-566042e70007___RS_Erly.B 7633_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999997615814209,50176,19986,0.6,39.83,0.541,0.7339,0.541,47,Moderate
21d6c7aa-20d7-4434-9248-e21d073e165a___RS_Erly.B 7495.JPG,tomato_Early blight,tomato_Early blight,0.9772337675094604,30590,6707,0.6,21.93,0.3186,0.7217,0.3186,58,Moderate
21d6c7aa-20d7-4434-9248-e21d073e165a___RS_Erly.B 7495_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9590837955474854,50176,14386,0.6,28.67,0.405,0.8026,0.405,51,Moderate
21f9a0a5-b145-40e7-8884-df2bb52eb592___RS_Erly.B 7391.JPG,tomato_Early blight,tomato_Early blight,0.9710853099822998,25194,6517,0.6,25.87,0.388,0.7782,0.388,53,Moderate
21f9a0a5-b145-40e7-8884-df2bb52eb592___RS_Erly.B 7391_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999992847442627,50176,16675,0.6,33.23,0.5268,0.7717,0.5268,49,Moderate
21ffaf6b-7ad0-45bf-bd7e-7d697413ebbd___RS_Erly.B 9500.JPG,tomato_Early blight,tomato_Early blight,0.742339015007019,22811,7082,0.6,31.05,0.3506,0.8442,0.3506,48,Moderate
21ffaf6b-7ad0-45bf-bd7e-7d697413ebbd___RS_Erly.B 9500_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999969005584717,50176,13149,0.6,26.21,0.4357,0.8023,0.4357,52,Moderate
22247648-1650-43d5-8a9b-e03f63cf2f1c___RS_Erly.B 7535.JPG,tomato_Early blight,tomato_Late blight,0.8197680115699768,24173,4599,0.6,19.03,0.2325,0.7913,0.2325,57,Moderate
22247648-1650-43d5-8a9b-e03f63cf2f1c___RS_Erly.B 7535_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.8534311056137085,50176,11009,0.6,21.94,0.3041,0.8119,0.3041,54,Moderate
2245fdf5-3ff5-4624-9797-0b65bcc6cf73___RS_Erly.B 6358.JPG,tomato_Early blight,tomato_Early blight,0.9996786117553711,34648,10358,0.6,29.89,0.4583,0.783,0.4583,51,Moderate
2245fdf5-3ff5-4624-9797-0b65bcc6cf73___RS_Erly.B 6358_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9888796806335449,50176,9808,0.6,19.55,0.3408,0.807,0.3408,56,Moderate
22742bf8-7e7f-41cc-bf74-5fe80d6cf0cd___RS_Erly.B 6370.JPG,tomato_Early blight,tomato_Early blight,0.9992893934249878,28631,7696,0.6,26.88,0.4,0.738,0.4,54,Moderate
22742bf8-7e7f-41cc-bf74-5fe80d6cf0cd___RS_Erly.B 6370_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9964364767074585,50176,17281,0.6,34.44,0.4308,0.7495,0.4308,49,Moderate
22b653c4-9e15-4081-8ece-9b5950a94120___RS_Erly.B 7814.JPG,tomato_Early blight,tomato_Early blight,0.5983731150627136,22401,5924,0.6,26.45,0.3448,0.7812,0.3448,53,Moderate
22b653c4-9e15-4081-8ece-9b5950a94120___RS_Erly.B 7814_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9998379945755005,50176,9985,0.6,19.9,0.4081,0.7686,0.4081,57,Moderate
22b8de0e-636d-4407-a270-ef3614c33227___RS_Erly.B 8257.JPG,tomato_Early blight,tomato_Early blight,0.8914169669151306,34853,4056,0.6,11.64,0.3563,0.8059,0.3563,61,Moderate
22b8de0e-636d-4407-a270-ef3614c33227___RS_Erly.B 8257_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9782446026802063,50176,22909,0.6,45.66,0.4804,0.7768,0.4804,42,Moderate
22faea13-4b3e-4d87-b80c-379755a7b747___RS_Erly.B 7852.JPG,tomato_Early blight,tomato_Early blight,0.6625848412513733,23068,6169,0.6,26.74,0.402,0.7398,0.402,54,Moderate
22faea13-4b3e-4d87-b80c-379755a7b747___RS_Erly.B 7852_final_masked.jpg,tomato_Early blight,tomato_healthy,0.9355339407920837,50176,6725,0.6,13.4,0.2137,0.7782,0.2137,99,Healthy
2312305e-c167-4730-a07a-db5c9956077a___RS_Erly.B 7752.JPG,tomato_Early blight,tomato_healthy,0.9986982345581055,22638,6308,0.6,27.86,0.3792,0.7443,0.3792,98,Healthy
2312305e-c167-4730-a07a-db5c9956077a___RS_Erly.B 7752_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.8320889472961426,50176,8396,0.6,16.73,0.3481,0.7766,0.3481,59,Moderate
239213d8-587b-48a8-bfdf-03157ba8e95d___RS_Erly.B 6385.JPG,tomato_Early blight,tomato_Early blight,0.999906063079834,31267,14782,0.6,47.28,0.5415,0.7457,0.5415,42,Moderate
239213d8-587b-48a8-bfdf-03157ba8e95d___RS_Erly.B 6385_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9972232580184937,50176,11046,0.6,22.01,0.4121,0.7249,0.4121,58,Moderate
23e8ae15-6cfc-4518-9266-3a289a7bced7___RS_Erly.B 6479.JPG,tomato_Early blight,tomato_Early blight,0.6509711146354675,19669,5185,0.6,26.36,0.3133,0.7932,0.3133,52,Moderate
23e8ae15-6cfc-4518-9266-3a289a7bced7___RS_Erly.B 6479_final_masked.jpg,tomato_Early blight,tomato_Late blight,0.5129126310348511,50176,6432,0.6,12.82,0.2157,0.745,0.2157,63,Moderate
240300f1-a601-4363-84e8-670af8a124a1___RS_Erly.B 7762.JPG,tomato_Early blight,tomato_Early blight,0.9480782747268677,21083,8954,0.6,42.47,0.5246,0.777,0.5246,43,Moderate
240300f1-a601-4363-84e8-670af8a124a1___RS_Erly.B 7762_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9990197420120239,50176,9800,0.6,19.53,0.3574,0.7592,0.3574,58,Moderate
2419fd79-cda0-4ba4-be14-31c92a2e91dd___RS_Erly.B 8255.JPG,tomato_Early blight,tomato_Late blight,0.9991464614868164,35711,6962,0.6,19.5,0.3504,0.7659,0.3504,58,Moderate
2419fd79-cda0-4ba4-be14-31c92a2e91dd___RS_Erly.B 8255_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.7856819033622742,50176,12538,0.6,24.99,0.3433,0.7828,0.3433,54,Moderate
24379205-969e-4cd0-9232-176c83364d60___RS_Erly.B 7617.JPG,tomato_Early blight,tomato_Early blight,0.9997559189796448,19150,10260,0.6,53.58,0.5955,0.7669,0.5955,37,Severe
24379205-969e-4cd0-9232-176c83364d60___RS_Erly.B 7617_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9991425275802612,50176,6509,0.6,12.97,0.2527,0.777,0.2527,61,Moderate
243a77c6-b401-43c4-9230-68b4b11f3b83___RS_Erly.B 7754.JPG,tomato_Early blight,tomato_Early blight,0.9916191101074219,21301,5525,0.6,25.94,0.3757,0.7616,0.3757,54,Moderate
243a77c6-b401-43c4-9230-68b4b11f3b83___RS_Erly.B 7754_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9909940361976624,50176,15091,0.6,30.08,0.4519,0.7365,0.4519,52,Moderate
24455ffa-8700-475c-8b4e-a7775f40ad3f___RS_Erly.B 8365.JPG,tomato_Early blight,tomato_Early blight,0.991162896156311,35488,8787,0.6,24.76,0.4302,0.7261,0.4302,56,Moderate
24455ffa-8700-475c-8b4e-a7775f40ad3f___RS_Erly.B 8365_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.6965484023094177,50176,5699,0.6,11.36,0.2672,0.7216,0.2672,64,Moderate
248a61d1-ed39-452b-b985-77120c1edc7a___RS_Erly.B 7669.JPG,tomato_Early blight,tomato_Early blight,0.5386557579040527,22878,5509,0.6,24.08,0.3247,0.7493,0.3247,56,Moderate
248a61d1-ed39-452b-b985-77120c1edc7a___RS_Erly.B 7669_final_masked.jpg,tomato_Early blight,tomato_Late blight,0.5050414204597473,50176,2075,0.6,4.14,0.1694,0.704,0.1694,69,Moderate
248f220e-56ac-43f1-8f17-641ed4637138___RS_Erly.B 7802.JPG,tomato_Early blight,tomato_Late blight,0.513683021068573,18527,6519,0.6,35.19,0.4005,0.7815,0.4005,48,Moderate
248f220e-56ac-43f1-8f17-641ed4637138___RS_Erly.B 7802_final_masked.jpg,tomato_Early blight,tomato_healthy,0.5041437149047852,50176,7340,0.6,14.63,0.2024,0.7481,0.2024,99,Healthy
24f5a397-b5ac-451c-b979-28ee2bb056e6___RS_Erly.B 7795.JPG,tomato_Early blight,tomato_Early blight,0.9883173108100891,20418,7487,0.6,36.67,0.4849,0.7364,0.4849,49,Moderate
24f5a397-b5ac-451c-b979-28ee2bb056e6___RS_Erly.B 7795_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.978150486946106,50176,17051,0.6,33.98,0.3992,0.7238,0.3992,51,Moderate
250df77c-cb57-4e85-9cf2-531033930030___RS_Erly.B 6477.JPG,tomato_Early blight,tomato_Early blight,0.9304788112640381,19790,10302,0.6,52.06,0.5592,0.7194,0.5592,40,Moderate
250df77c-cb57-4e85-9cf2-531033930030___RS_Erly.B 6477_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9968476891517639,50176,22785,0.6,45.41,0.4916,0.7562,0.4916,43,Moderate
250f6c43-1800-4c21-9d73-cc51fe144bbc___RS_Erly.B 6356.JPG,tomato_Early blight,tomato_Early blight,0.749387264251709,35120,9440,0.6,26.88,0.3065,0.7094,0.3065,55,Moderate
250f6c43-1800-4c21-9d73-cc51fe144bbc___RS_Erly.B 6356_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.5180469155311584,50176,9681,0.6,19.29,0.3031,0.7398,0.3031,59,Moderate
25281e43-2651-423f-8e7e-d354185ccd28___RS_Erly.B 7809.JPG,tomato_Early blight,tomato_Early blight,0.9990178346633911,21990,12011,0.6,54.62,0.6072,0.8014,0.6072,35,Severe
25281e43-2651-423f-8e7e-d354185ccd28___RS_Erly.B 7809_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9997120499610901,50176,24970,0.6,49.76,0.5637,0.7722,0.5637,39,Severe
25430871-a740-4dd8-a836-bf2d52eb233b___RS_Erly.B 6420.JPG,tomato_Early blight,tomato_Early blight,0.9878601431846619,18462,7491,0.6,40.58,0.4805,0.8542,0.4805,41,Moderate
25430871-a740-4dd8-a836-bf2d52eb233b___RS_Erly.B 6420_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999960660934448,50176,31995,0.6,63.77,0.6408,0.7862,0.6408,30,Severe
257ffdcb-bd8b-4d18-98cc-e63a118155ea___RS_Erly.B 9520.JPG,tomato_Early blight,tomato_Early blight,0.9999951124191284,28684,14770,0.6,51.49,0.5815,0.7519,0.5815,39,Severe
257ffdcb-bd8b-4d18-98cc-e63a118155ea___RS_Erly.B 9520_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999971389770508,50176,18149,0.6,36.17,0.5248,0.7606,0.5248,48,Moderate
2586a260-ecf6-40e8-aa11-4b8a50845575___RS_Erly.B 7833.JPG,tomato_Early blight,tomato_healthy,0.523531436920166,16465,581,0.6,3.53,0.1899,0.636,0.1899,99,Healthy
2586a260-ecf6-40e8-aa11-4b8a50845575___RS_Erly.B 7833_final_masked.jpg,tomato_Early blight,tomato_healthy,0.8600224852561951,50176,6615,0.6,13.18,0.2814,0.7269,0.2814,99,Healthy
258e6e39-d791-482c-921d-65048753770a___RS_Erly.B 9422.JPG,tomato_Early blight,tomato_Early blight,0.7850437164306641,19409,6125,0.6,31.56,0.4113,0.7781,0.4113,50,Moderate
258e6e39-d791-482c-921d-65048753770a___RS_Erly.B 9422_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9986937642097473,50176,15612,0.6,31.11,0.4635,0.7082,0.4635,53,Moderate
25b96058-36c9-4213-bb16-088e76cb30b1___RS_Erly.B 9417.JPG,tomato_Early blight,tomato_Early blight,0.9824250340461731,28400,13275,0.6,46.74,0.5134,0.783,0.5134,41,Moderate
25b96058-36c9-4213-bb16-088e76cb30b1___RS_Erly.B 9417_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9966921806335449,50176,8669,0.6,17.28,0.3456,0.7772,0.3456,59,Moderate
25cc64d3-0ea1-4082-9b2a-bcaee3056580___RS_Erly.B 9602.JPG,tomato_Early blight,tomato_Early blight,0.9960200190544128,22744,8633,0.6,37.96,0.5187,0.7712,0.5187,46,Moderate
25cc64d3-0ea1-4082-9b2a-bcaee3056580___RS_Erly.B 9602_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999547004699707,50176,33132,0.6,66.03,0.6506,0.7562,0.6506,30,Severe
2606a4ae-7b2f-4fd6-a561-fc9dce2ffc02___RS_Erly.B 9570.JPG,tomato_Early blight,tomato_Early blight,0.9999998807907104,28901,17582,0.6,60.84,0.6636,0.7664,0.6636,33,Severe
2606a4ae-7b2f-4fd6-a561-fc9dce2ffc02___RS_Erly.B 9570_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9998844861984253,50176,12685,0.6,25.28,0.4568,0.7253,0.4568,56,Moderate
264bc13b-2bcd-40f8-ae25-23aef0ccdc64___RS_Erly.B 7589.JPG,tomato_Early blight,tomato_Early blight,0.6906113624572754,17429,4585,0.6,26.31,0.3761,0.7313,0.3761,55,Moderate
264bc13b-2bcd-40f8-ae25-23aef0ccdc64___RS_Erly.B 7589_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9993985891342163,50176,7251,0.6,14.45,0.3259,0.7326,0.3259,62,Moderate
265940d8-b4e9-446f-b977-3cbd9ee4f789___RS_Erly.B 9595.JPG,tomato_Early blight,tomato_Early blight,0.9999520778656006,26223,13190,0.6,50.3,0.581,0.7631,0.581,39,Severe
265940d8-b4e9-446f-b977-3cbd9ee4f789___RS_Erly.B 9595_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999997615814209,50176,12619,0.6,25.15,0.4445,0.7776,0.4445,54,Moderate
268590f4-68f6-4de9-968e-a7465b377db4___RS_Erly.B 7614.JPG,tomato_Early blight,tomato_Early blight,0.9963098168373108,22519,8715,0.6,38.7,0.551,0.759,0.551,46,Moderate
268590f4-68f6-4de9-968e-a7465b377db4___RS_Erly.B 7614_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999972581863403,50176,15188,0.6,30.27,0.4773,0.7089,0.4773,53,Moderate
26b721c9-94fd-4e19-bb7e-521238eb8a1b___RS_Erly.B 9380.JPG,tomato_Early blight,tomato_Early blight,0.9931883811950684,29030,11871,0.6,40.89,0.4813,0.7855,0.4813,44,Moderate
26b721c9-94fd-4e19-bb7e-521238eb8a1b___RS_Erly.B 9380_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9996143579483032,50176,9986,0.6,19.9,0.4265,0.7374,0.4265,59,Moderate
26e2e7aa-800c-421b-92e8-3e20c5f5757e___RS_Erly.B 7656.JPG,tomato_Early blight,tomato_Early blight,0.9998658895492554,26379,10584,0.6,40.12,0.5205,0.7413,0.5205,46,Moderate
26e2e7aa-800c-421b-92e8-3e20c5f5757e___RS_Erly.B 7656_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999881982803345,50176,22122,0.6,44.09,0.6104,0.7813,0.6104,42,Moderate
2763c9bc-ecc6-4f1a-86a7-ef8ffa370420___RS_Erly.B 8422.JPG,tomato_Early blight,tomato_Late blight,0.9840767979621887,31442,6264,0.6,19.92,0.276,0.7931,0.276,56,Moderate
2763c9bc-ecc6-4f1a-86a7-ef8ffa370420___RS_Erly.B 8422_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9952730536460876,50176,15777,0.6,31.44,0.4873,0.7634,0.4873,51,Moderate
2792287f-aa8e-4c03-aabe-479e75cdc0f8___RS_Erly.B 9584.JPG,tomato_Early blight,tomato_Early blight,0.9999624490737915,30647,12872,0.6,42.0,0.5611,0.749,0.5611,45,Moderate
2792287f-aa8e-4c03-aabe-479e75cdc0f8___RS_Erly.B 9584_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999990463256836,50176,11284,0.6,22.49,0.4087,0.7503,0.4087,56,Moderate
27ba7432-8547-436c-9b97-adf3cbe15575___RS_Erly.B 7544.JPG,tomato_Early blight,tomato_Early blight,0.9998307228088379,27717,15065,0.6,54.35,0.5996,0.7404,0.5996,38,Severe
27ba7432-8547-436c-9b97-adf3cbe15575___RS_Erly.B 7544_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9998267292976379,50176,12964,0.6,25.84,0.4416,0.75,0.4416,54,Moderate
2832ca53-be67-44c0-ac55-eb815bd85fd3___RS_Erly.B 8242.JPG,tomato_Early blight,tomato_Early blight,0.9912177920341492,29689,11363,0.6,38.27,0.5027,0.7858,0.5027,46,Moderate
2832ca53-be67-44c0-ac55-eb815bd85fd3___RS_Erly.B 8242_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9954957962036133,50176,14345,0.6,28.59,0.4299,0.7435,0.4299,53,Moderate
2840c2f1-b901-41c2-8d0c-7827bc7f8ab3___RS_Erly.B 9574.JPG,tomato_Early blight,tomato_Late blight,0.9891751408576965,26582,7839,0.6,29.49,0.3851,0.7456,0.3851,52,Moderate
2840c2f1-b901-41c2-8d0c-7827bc7f8ab3___RS_Erly.B 9574_final_masked.jpg,tomato_Early blight,tomato_healthy,0.5439352989196777,50176,4746,0.6,9.46,0.2024,0.6977,0.2024,99,Healthy
289972f1-4f80-432d-8f44-39c16ea787c3___RS_Erly.B 7542.JPG,tomato_Early blight,tomato_Early blight,0.9944620728492737,24716,11624,0.6,47.03,0.5619,0.7345,0.5619,42,Moderate
289972f1-4f80-432d-8f44-39c16ea787c3___RS_Erly.B 7542_final_masked.jpg,tomato_Early blight,tomato_Early blight,1.0,50176,7806,0.6,15.56,0.293,0.7462,0.293,61,Moderate
289ba10b-f518-445a-8c54-cc981e2ffe34___RS_Erly.B 7399.JPG,tomato_Early blight,tomato_Early blight,0.9602217078208923,33995,8638,0.6,25.41,0.4515,0.7656,0.4515,54,Moderate
289ba10b-f518-445a-8c54-cc981e2ffe34___RS_Erly.B 7399_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9731013774871826,50176,15738,0.6,31.37,0.4361,0.7594,0.4361,51,Moderate
28d03063-a772-4136-80fd-3bbff0fffa41___RS_Erly.B 7370.JPG,tomato_Early blight,tomato_Early blight,0.9922103881835938,25175,7138,0.6,28.35,0.4591,0.7092,0.4591,55,Moderate
28d03063-a772-4136-80fd-3bbff0fffa41___RS_Erly.B 7370_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9958254098892212,50176,6107,0.6,12.17,0.3245,0.7155,0.3245,64,Moderate
28d9f1bd-ee80-46e1-b89c-5a855f0c8400___RS_Erly.B 7818.JPG,tomato_Early blight,tomato_Early blight,0.9706291556358337,21738,4994,0.6,22.97,0.3576,0.7715,0.3576,55,Moderate
28d9f1bd-ee80-46e1-b89c-5a855f0c8400___RS_Erly.B 7818_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9998501539230347,50176,11698,0.6,23.31,0.4453,0.7827,0.4453,55,Moderate
29345423-647e-4e1b-81f4-16d8cfc0e137___RS_Erly.B 7422.JPG,tomato_Early blight,tomato_Early blight,0.9998229146003723,25941,8375,0.6,32.28,0.4782,0.7367,0.4782,51,Moderate
29345423-647e-4e1b-81f4-16d8cfc0e137___RS_Erly.B 7422_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999978542327881,50176,19304,0.6,38.47,0.5532,0.7645,0.5532,46,Moderate
29645def-a571-4442-8f95-d7ebf71befde___RS_Erly.B 7751.JPG,tomato_Early blight,tomato_Early blight,0.6344661712646484,27930,2415,0.6,8.65,0.1861,0.7764,0.1861,64,Moderate
29645def-a571-4442-8f95-d7ebf71befde___RS_Erly.B 7751_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9342564940452576,50176,7738,0.6,15.42,0.3074,0.7813,0.3074,59,Moderate
297feea8-4707-4d39-a6af-b1c0e3403935___RS_Erly.B 7816.JPG,tomato_Early blight,tomato_Early blight,0.524125337600708,22190,2810,0.6,12.66,0.1984,0.7643,0.1984,62,Moderate
297feea8-4707-4d39-a6af-b1c0e3403935___RS_Erly.B 7816_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9933574795722961,50176,6264,0.6,12.48,0.3346,0.7407,0.3346,63,Moderate
2998c7f2-9f4f-4734-aa39-403dd7211869___RS_Erly.B 7528.JPG,tomato_Early blight,tomato_Early blight,0.9999958276748657,29579,7722,0.6,26.11,0.4506,0.7692,0.4506,54,Moderate
2998c7f2-9f4f-4734-aa39-403dd7211869___RS_Erly.B 7528_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9984277486801147,50176,11813,0.6,23.54,0.3902,0.7625,0.3902,55,Moderate
29e36e1e-0857-4985-8d33-505290dff591___RS_Erly.B 6343.JPG,tomato_Early blight,tomato_Early blight,0.9999901056289673,28918,12930,0.6,44.71,0.5779,0.7516,0.5779,43,Moderate
29e36e1e-0857-4985-8d33-505290dff591___RS_Erly.B 6343_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999970197677612,50176,11651,0.6,23.22,0.4911,0.7529,0.4911,56,Moderate
29f5538a-fda9-4040-81c2-02269a45ad68___RS_Erly.B 7670.JPG,tomato_Early blight,tomato_Early blight,0.9938086867332458,22079,10397,0.6,47.09,0.5624,0.7665,0.5624,41,Moderate
29f5538a-fda9-4040-81c2-02269a45ad68___RS_Erly.B 7670_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9682624936103821,50176,10453,0.6,20.83,0.3244,0.8352,0.3244,54,Moderate
29f6e3c2-0bf9-42fe-9a39-aef42acd5191___RS_Erly.B 9480.JPG,tomato_Early blight,tomato_Early blight,0.7727083563804626,31249,7499,0.6,24.0,0.3566,0.7609,0.3566,55,Moderate
29f6e3c2-0bf9-42fe-9a39-aef42acd5191___RS_Erly.B 9480_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9729325771331787,50176,10980,0.6,21.88,0.3919,0.7574,0.3919,57,Moderate
29fb6588-a368-4143-9cdd-8a131f0d50f4___RS_Erly.B 7779.JPG,tomato_Early blight,tomato_healthy,0.6238444447517395,22220,4266,0.6,19.2,0.3467,0.7681,0.3467,98,Healthy
29fb6588-a368-4143-9cdd-8a131f0d50f4___RS_Erly.B 7779_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.7114235162734985,50176,8578,0.6,17.1,0.2882,0.6851,0.2882,62,Moderate
2a5367b1-6732-4213-b095-5953251324ee___RS_Erly.B 7585.JPG,tomato_Early blight,tomato_Early blight,0.7995949387550354,17847,8275,0.6,46.37,0.5037,0.7971,0.5037,40,Moderate
2a5367b1-6732-4213-b095-5953251324ee___RS_Erly.B 7585_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999997615814209,50176,10597,0.6,21.12,0.4148,0.7463,0.4148,57,Moderate
2a64ed5f-6be9-463b-894f-e2953da0a974___RS_Erly.B 7520.JPG,tomato_Early blight,tomato_Early blight,0.9332358837127686,20778,8884,0.6,42.76,0.4894,0.8302,0.4894,41,Moderate
2a64ed5f-6be9-463b-894f-e2953da0a974___RS_Erly.B 7520_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9983345866203308,50176,27386,0.6,54.58,0.5911,0.7508,0.5911,37,Severe
2ab7f21e-4a55-4895-acdb-5f161167a0f1___RS_Erly.B 8318.JPG,tomato_Early blight,tomato_Late blight,0.9937669038772583,26182,10279,0.6,39.26,0.5041,0.7796,0.5041,45,Moderate
2ab7f21e-4a55-4895-acdb-5f161167a0f1___RS_Erly.B 8318_final_masked.jpg,tomato_Early blight,tomato_Late blight,0.906915545463562,50176,11582,0.6,23.08,0.3071,0.747,0.3071,56,Moderate
2b5bebdd-3af4-41ca-b206-efc1a141e71d___RS_Erly.B 6363.JPG,tomato_Early blight,tomato_Early blight,0.7977584004402161,23839,6377,0.6,26.75,0.3553,0.7604,0.3553,54,Moderate
2b5bebdd-3af4-41ca-b206-efc1a141e71d___RS_Erly.B 6363_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.999910831451416,50176,13836,0.6,27.57,0.4519,0.7658,0.4519,53,Moderate
2b7c8b0d-d906-4c93-9dc4-554ae46a3ec3___RS_Erly.B 7825.JPG,tomato_Early blight,tomato_Late blight,0.9730306267738342,22028,8256,0.6,37.48,0.4329,0.7654,0.4329,47,Moderate
2b7c8b0d-d906-4c93-9dc4-554ae46a3ec3___RS_Erly.B 7825_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.5800323486328125,50176,16141,0.6,32.17,0.35,0.7674,0.35,50,Moderate
2bdca297-e0d1-41f0-b1dc-3801384faa1a___RS_Erly.B 7858.JPG,tomato_Early blight,tomato_Early blight,0.7734726071357727,22529,4777,0.6,21.2,0.3251,0.7705,0.3251,56,Moderate
2bdca297-e0d1-41f0-b1dc-3801384faa1a___RS_Erly.B 7858_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.5592507719993591,50176,7932,0.6,15.81,0.2447,0.7794,0.2447,59,Moderate
2bdecb58-7e31-4129-83ff-125b7a31c0f6___RS_Erly.B 9506.JPG,tomato_Early blight,tomato_Late blight,0.8859081268310547,25650,8599,0.6,33.52,0.4507,0.7337,0.4507,51,Moderate
2bdecb58-7e31-4129-83ff-125b7a31c0f6___RS_Erly.B 9506_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.882824182510376,50176,13392,0.6,26.69,0.4213,0.719,0.4213,55,Moderate
2c9fda20-f414-4aaa-8798-faf6bc38f014___RS_Erly.B 6491.JPG,tomato_Early blight,tomato_Early blight,0.8384689688682556,24758,11812,0.6,47.71,0.4575,0.7967,0.4575,40,Moderate
2c9fda20-f414-4aaa-8798-faf6bc38f014___RS_Erly.B 6491_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9286057353019714,50176,12328,0.6,24.57,0.3997,0.7948,0.3997,53,Moderate
2d3d1221-2f62-43ad-8256-b560c1872934___RS_Erly.B 7465.JPG,tomato_Early blight,tomato_Early blight,0.9983715415000916,23034,8749,0.6,37.98,0.4668,0.7563,0.4668,47,Moderate
2d3d1221-2f62-43ad-8256-b560c1872934___RS_Erly.B 7465_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999327659606934,50176,12038,0.6,23.99,0.4633,0.7161,0.4633,57,Moderate
2e7b090e-4fc6-42f2-8bf6-3f84b32712e5___RS_Erly.B 7470.JPG,tomato_Early blight,tomato_Late blight,0.9514797329902649,23126,6462,0.6,27.94,0.4461,0.7062,0.4461,55,Moderate
2e7b090e-4fc6-42f2-8bf6-3f84b32712e5___RS_Erly.B 7470_final_masked.jpg,tomato_Early blight,tomato_Early blight,0.9999905824661255,50176,16817,0.6,33.52,0.5051,0.765,0.5051,49,Moderate
2ef629c7-3366-41b5-a1b7-0e3bcb3ac28c___RS_Erly.B 9395.JPG,tomato_Early blight,tomato_Early blight,0.9761431217193604,24973,7304,0.6,29.25,0.3841,0.8082,0.3841,50,Moderate
